split_type,seed,model_name,feature_set_a,feature_set_b,n_compared,dropped_due_to_misalignment,total_reclassified,hy_to_ig,ig_to_hy,reclass_rate
stratified,0,random_forest,financial_enriched,esg_financial_enriched,77,0,10,2,1,0.12987012987012986
stratified,1,random_forest,financial_enriched,esg_financial_enriched,77,0,12,3,1,0.15584415584415584
stratified,2,random_forest,financial_enriched,esg_financial_enriched,77,0,15,0,1,0.19480519480519481
stratified,3,random_forest,financial_enriched,esg_financial_enriched,77,0,12,1,1,0.15584415584415584
stratified,4,random_forest,financial_enriched,esg_financial_enriched,77,0,10,0,1,0.12987012987012986
stratified,5,random_forest,financial_enriched,esg_financial_enriched,77,0,9,2,1,0.11688311688311688
stratified,6,random_forest,financial_enriched,esg_financial_enriched,77,0,9,2,1,0.11688311688311688
stratified,7,random_forest,financial_enriched,esg_financial_enriched,77,0,13,0,6,0.16883116883116883
stratified,8,random_forest,financial_enriched,esg_financial_enriched,77,0,10,0,1,0.12987012987012986
stratified,9,random_forest,financial_enriched,esg_financial_enriched,77,0,16,2,2,0.2077922077922078
grouped,0,random_forest,financial_enriched,esg_financial_enriched,76,0,19,4,1,0.25
grouped,1,random_forest,financial_enriched,esg_financial_enriched,76,0,14,4,0,0.18421052631578946
grouped,2,random_forest,financial_enriched,esg_financial_enriched,75,0,15,0,1,0.2
grouped,3,random_forest,financial_enriched,esg_financial_enriched,77,0,12,1,2,0.15584415584415584
grouped,4,random_forest,financial_enriched,esg_financial_enriched,77,0,15,2,2,0.19480519480519481
grouped,5,random_forest,financial_enriched,esg_financial_enriched,77,0,16,1,2,0.2077922077922078
grouped,6,random_forest,financial_enriched,esg_financial_enriched,81,0,13,0,1,0.16049382716049382
grouped,7,random_forest,financial_enriched,esg_financial_enriched,81,0,14,3,1,0.1728395061728395
grouped,8,random_forest,financial_enriched,esg_financial_enriched,76,0,10,0,2,0.13157894736842105
grouped,9,random_forest,financial_enriched,esg_financial_enriched,78,0,17,2,4,0.21794871794871795
